"region","goal1.1","goal1.2","goal1.3","goal1.4","goal1.5","goal2.1","goal2.2","goal2.3","goal2.4","goal2.5","goal3.1","goal3.2","goal3.3","goal3.4","goal3.5","goal4.1","goal4.2","goal4.3","goal4.4","goal4.5","goal5.1","goal5.2","goal5.3","goal5.4","goal5.5","goal6.1","goal6.2","goal6.3","goal6.4","goal6.5","goal7.1","goal7.2","goal7.3","goal7.4","goal7.5","goal8.1","goal8.2","goal8.3","goal8.4","goal8.5","goal9.1","goal9.2","goal9.3","goal9.4","goal9.5","goal10.1","goal10.2","goal10.3","goal10.4","goal10.5","goal11.1","goal11.2","goal11.3","goal11.4","goal11.5","goal12.1","goal12.2","goal12.3","goal12.4","goal12.5","goal13.1","goal13.2","goal13.3","goal13.4","goal13.5","goal15.1","goal15.2","goal15.3","goal15.4","goal15.5","goal16.1","goal16.2","goal16.3","goal16.4","goal16.5"
"Caucasus & Central Asia",-0.28237,-0.27716, 0.05062,-0.27300,-0.02934,-0.10297, 0.04795,-0.17173,-0.08530,-0.01290,-0.24596,-0.26026,-0.13861,-0.22104,-0.05147,-0.12428,-0.11179,-0.00638,-0.04667, 0.02722,-0.08967,-0.02729, 0.08632,-0.13940, 0.02931,-0.20943,-0.24932,-0.05555,-0.08583,-0.01203, 0.16762, 0.19344,-0.15758, 0.18639,-0.04798,-0.142674,-0.159711,-0.118677,-0.068935,-0.118459,-0.19749,-0.28905,-0.09971,-0.15823,-0.06050,-0.03576,-0.02361,-0.02226,-0.10634, 0.04420,-0.23703,-0.27945,-0.06328,-0.13810,-0.05132, 0.1796, 0.1954,-0.1258, 0.1042,-0.0347, 0.12373, 0.10412,-0.16789, 0.08401,-0.05446,-0.066796, 0.016555,-0.091967,-0.157575, 0.086132,-0.02213,-0.13125,-0.14075, 0.05671,-0.09063
"East Asia",-0.78920,-0.28194,-0.42268,-0.10877,-0.65961, 0.21313, 0.09070, 0.12511, 0.18516, 0.16369,-0.20876,-0.02610,-0.06253, 0.15072,-0.20685, 0.29948, 0.11547, 0.13778, 0.14387, 0.22947, 0.46790, 0.13856, 0.18550, 0.11424, 0.35588,-0.32861,-0.06495,-0.10344, 0.12924,-0.29325,-0.12540,-0.01559,-0.03164, 0.15308,-0.12643,-0.277799,-0.074541,-0.090970, 0.050152,-0.221658,-0.18322,-0.03715,-0.05646, 0.12319,-0.16669,-0.68957,-0.22527,-0.32489,-0.21163,-0.56183,-0.18263,-0.04563,-0.05469, 0.11961,-0.14447, 0.6400, 0.1880, 0.2742, 0.1265, 0.5283, 0.61112, 0.18032, 0.32010, 0.17937, 0.54613,-0.414880,-0.141500,-0.195119,-0.209868,-0.342442,-0.47839,-0.12715,-0.17481, 0.02119,-0.39635
"Eastern Europe",-0.02485, 0.00707,-0.21248,-0.02627, 0.00450,-0.12821,-0.05197,-0.06531, 0.05777, 0.00209,-0.15781,-0.06213,-0.14143,-0.00184,-0.08997,-0.04804,-0.00956, 0.02746, 0.04252, 0.01483,-0.05463, 0.02567, 0.02662, 0.05521, 0.02859,-0.08310,-0.01613,-0.02601, 0.05809, 0.01097,-0.12372,-0.05005,-0.12244,-0.03620,-0.03487,-0.083907, 0.000171, 0.002878, 0.067052, 0.024931,-0.09993, 0.00948,-0.06362, 0.04789, 0.02574,-0.05425,-0.05135,-0.00707, 0.00983,-0.05454,-0.08939,-0.00739,-0.01519,-0.00173,-0.03779, 0.1062, 0.0437, 0.1189, 0.0683, 0.0731, 0.07334,-0.04286,-0.03589,-0.02292,-0.01789,-0.034658,-0.049977,-0.062434,-0.028487,-0.073462,-0.17629,-0.13321,-0.22555,-0.11470,-0.19418
"Latin America & the Caribbean", 0.04303,-0.04877,-0.00765, 0.05266, 0.04868, 0.05856,-0.07435,-0.02123, 0.07764, 0.07940,-0.01180,-0.17056,-0.06375, 0.06131, 0.03970, 0.01165,-0.11738, 0.00614, 0.07611, 0.05776,-0.03945,-0.12497,-0.05601,-0.00136,-0.04054, 0.11689,-0.08650,-0.01142, 0.11564, 0.12157, 0.02831,-0.14968,-0.07130, 0.02749, 0.04438, 0.047126,-0.104376,-0.038862, 0.028127, 0.047771, 0.10740,-0.04931,-0.02784, 0.08189, 0.02722, 0.03098, 0.08745, 0.03013, 0.05482, 0.00535,-0.08111,-0.15781,-0.09973,-0.01174,-0.01435, 0.1083, 0.0628, 0.0597, 0.0170, 0.0299, 0.07957, 0.04289, 0.03966,-0.00658, 0.00530,-0.044544,-0.062544,-0.050959,-0.063061,-0.028412,-0.07272,-0.06263,-0.03229, 0.04637, 0.06598
"Middle East & North Africa",-0.01703, 0.04551,-0.05844, 0.06182, 0.08143,-0.02601, 0.03791,-0.13831, 0.03829, 0.01560,-0.00853,-0.03462,-0.12153, 0.05222,-0.01704,-0.00292,-0.03303,-0.09700, 0.01657,-0.00946, 0.01835,-0.02195,-0.10383,-0.05173,-0.05545, 0.04926,-0.00898,-0.12693, 0.02278, 0.06466,-0.00640,-0.02957,-0.17826,-0.00189, 0.00483,-0.055193,-0.065938,-0.096832, 0.006365,-0.053496, 0.02792,-0.07274,-0.06762,-0.00172,-0.06125, 0.03051,-0.02239, 0.01780,-0.02536, 0.03891,-0.03100,-0.00110,-0.08357, 0.10363, 0.02166, 0.0862, 0.0454, 0.0689, 0.0468, 0.0668, 0.07836, 0.03774, 0.05357, 0.02908, 0.06625, 0.016266, 0.077873,-0.043346, 0.100198, 0.040635,-0.08446,-0.05586,-0.16187,-0.00995,-0.03438
"North America",-0.16689,-0.50898,-0.45974,-0.55339,-0.35482, 0.19426, 0.44474, 0.39680, 0.49184, 0.27013,-0.11021,-0.43611,-0.33890,-0.35593,-0.26664,-0.06017,-0.38025,-0.43841,-0.40428,-0.21642,-0.19795,-0.40667,-0.40353,-0.41303,-0.32749,-0.17689,-0.54893,-0.41814,-0.53020,-0.31165,-0.15062,-0.53286,-0.43951,-0.48685,-0.30864,-0.112127,-0.078926,-0.262901,-0.303160,-0.051088, 0.21341, 0.08325, 0.16434, 0.37324, 0.12995,-0.18930,-0.50753,-0.46684,-0.54330,-0.31454,-0.06122,-0.30374,-0.07402,-0.11205,-0.04168, 0.1756, 0.3705, 0.3492, 0.4692, 0.2087, 0.21308, 0.46053, 0.40339, 0.54843, 0.28997, 0.134282,-0.157322, 0.101709, 0.051779,-0.062325,-0.19839,-0.51898,-0.44038,-0.55886,-0.31870
"Oceania",-0.06216, 0.02412, 0.09403, 0.04746, 0.00910,-0.26827,-0.12028, 0.06455, 0.17793,-0.08423,-0.19713,-0.08571, 0.16403, 0.32340,-0.10056,-0.15660,-0.16077, 0.09589, 0.22719,-0.11035,-0.14545,-0.06001, 0.16355, 0.32384,-0.09120,-0.20217,-0.07712, 0.16601, 0.31788,-0.10026,-0.17453,-0.14992, 0.10398, 0.25894,-0.18822,-0.030709, 0.104092, 0.140145, 0.260874, 0.085735,-0.16891,-0.05109, 0.18072, 0.33874,-0.07203,-0.17396,-0.08485, 0.15280, 0.29112,-0.09770,-0.18977,-0.19206,-0.02265, 0.09318,-0.08637, 0.1774, 0.0333,-0.1749,-0.3467, 0.0568, 0.13418,-0.09064,-0.23133,-0.34412,-0.04620, 0.104516, 0.226731, 0.088234, 0.061967, 0.238186,-0.22936,-0.11780, 0.12676, 0.27469,-0.12731
"South Asia",-0.00873,-0.02969, 0.03915, 0.09508,-0.01801,-0.10681,-0.06181,-0.01281,-0.06757,-0.16001,-0.07824,-0.09377,-0.05061, 0.00229,-0.11052,-0.00627,-0.02821, 0.03671, 0.08686,-0.02591,-0.14253,-0.04867,-0.03319,-0.03519,-0.21006,-0.14634,-0.09185,-0.08610,-0.04167,-0.21475,-0.03049,-0.10785,-0.02197, 0.08182,-0.05312,-0.055188,-0.096456,-0.051018, 0.013744,-0.095280,-0.03531,-0.09264,-0.02078, 0.00469,-0.07054,-0.03941, 0.06619, 0.03689, 0.02443, 0.01980,-0.14854,-0.09626,-0.04683,-0.10436,-0.16013, 0.0874, 0.0592, 0.0703, 0.0712, 0.0864, 0.06478, 0.05817, 0.07706, 0.04567, 0.07294,-0.030888, 0.023110, 0.059483, 0.027526, 0.014769,-0.09956,-0.01559,-0.06925,-0.09776,-0.10114
"Sub-Saharan Africa",-0.10506,-0.07701,-0.03155,-0.01298,-0.09844,-0.10010,-0.09265, 0.01768, 0.01560,-0.06499,-0.07449,-0.11420, 0.02021, 0.03509,-0.03604,-0.03052,-0.02465, 0.01847, 0.06263,-0.07826, 0.03260,-0.09273, 0.03398, 0.12874,-0.01734,-0.12624,-0.08604,-0.00430, 0.02124,-0.12339,-0.01822,-0.03932, 0.02185, 0.06578,-0.04787, 0.061726,-0.012155,-0.008308, 0.043892, 0.002105, 0.01764,-0.07540,-0.00424, 0.16641,-0.07564, 0.11469, 0.08792, 0.01821,-0.05941, 0.04751, 0.03113,-0.07446,-0.02787, 0.08240,-0.06485, 0.0896, 0.0675, 0.0438,-0.0170, 0.0661, 0.04260, 0.05713,-0.00250,-0.11089, 0.06272,-0.063474, 0.000536, 0.013269,-0.046051,-0.026060,-0.12163,-0.13741,-0.04892,-0.01685,-0.06617
"Western Europe", 0.04888,-0.04693,-0.14767,-0.11785,-0.14786, 0.08995, 0.04336, 0.08275, 0.15798, 0.03844,-0.11848,-0.09604,-0.04238,-0.14959,-0.06684,-0.03657,-0.03828, 0.03303,-0.04203, 0.08104,-0.10400,-0.15581,-0.13829,-0.20389,-0.15911, 0.03871,-0.01161,-0.01975, 0.03662,-0.00483,-0.06667,-0.07697,-0.04676,-0.11852,-0.05207,-0.027934,-0.076213,-0.154939,-0.143900,-0.155859,-0.06688,-0.11899,-0.05166,-0.08883,-0.06522,-0.14158,-0.06543,-0.11195,-0.19170,-0.12017,-0.04956,-0.10489,-0.17636,-0.17593,-0.14966, 0.0876, 0.1107, 0.2145, 0.2069, 0.1362, 0.07749, 0.08606, 0.15414, 0.15392, 0.08629,-0.038537,-0.112347,-0.003011,-0.004976, 0.038018,-0.13716,-0.18655,-0.22670,-0.27546,-0.19242
