"","code","year","country","continent","region","population","overallscore","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal15","goal16","goal17","unemployment.rate","GDPpercapita","MilitaryExpenditurePercentGDP","internet_usage","pf_law","pf_security","pf_movement","pf_religion","pf_assembly","pf_expression","pf_identity","ef_government","ef_legal","ef_money","ef_trade","ef_regulation"
"1","ALB",2000,"Albania","Europe","Eastern Europe",3195713,65.9,96.4,47,73.6,81.7,36.7,68.8,75,61.2,17.6,84.4,74.8,84.3,90,66.7,66.1,60,0.19028,1126.68334010717,1.24636024189216,0.0011409735,4.56568712652227,9.0948979881746,9.49208333333333,8.83541666666667,8.02546296296296,7.51307654320988,9.375,8.18547886662197,4.70923066743949,6.91039252603359,6.32159122988709,6.49555603651087
"2","ALB",2001,"Albania","Europe","Eastern Europe",3168328,65.9,96.4,46.2,74.7,82.8,37.3,69,73.4,61.5,17.6,84.4,74.6,84.4,89.9,66.5,65.4,60,0.18575,1281.6598256178,1.30929137475594,0.0032579836,4.67238386331721,8.68068641885644,9.49208333333333,8.83541666666667,8.3112962962963,6.84640987654321,9.375,8.2663854245694,4.83459175087004,6.79625990745079,6.51048011877598,6.96111159206643
"3","ALB",2002,"Albania","Europe","Eastern Europe",3138896,65.7,96.4,45.4,74.6,82.8,37.4,69.3,71.9,61.8,17.6,84.4,75.2,83.9,89.4,66.4,65.4,59.1,0.17895,1425.12421860142,1.32003449433204,0.003900813,4.73728290044225,8.69821722195296,9.6125,8.83541666666667,8.4487962962963,6.78430864197531,9.375,8.91293173325912,4.84436606834226,7.09859790070033,6.76079350908937,7.07064226789715
"4","ALB",2003,"Albania","Europe","Eastern Europe",3108206,65.7,96.4,43.7,74.2,81.2,37.5,69.6,72.8,62.3,17.6,84.4,75,83.8,88.9,66.3,65.8,59.5,0.16989,1846.12012081207,1.33684292419802,0.009719004,4.75281302039537,8.92922534720578,9.675,8.83541666666667,8.46858796296296,6.88616049382716,9.375,8.89248901513572,5.01584137324504,9.72558817275103,6.77190462020048,6.78301482237235
"5","ALB",2004,"Albania","Europe","Eastern Europe",3077776,66.2,96.4,44.1,75,80.8,38,69.9,74.8,62.7,17.7,84.4,75.5,83.1,89,69.6,65.7,60.2,0.1631,2373.58129170055,1.38115794211088,0.024203877,4.8062658375509,9.14575389161052,9.675,8.83541666666667,8.42962962962963,6.88616049382716,9.375,8.62819406712189,5.05437402633609,9.55860436248711,6.35438379031488,6.43181641699595
"6","ALB",2005,"Albania","Europe","Eastern Europe",3047469,66.5,96.4,44.2,74.9,80.8,38.5,70.2,75.8,62.9,18.2,88.1,75.4,83.2,88.9,70.2,65,60,0.1597,2673.78780296036,1.35000497056322,0.06043891,4.8062658375509,9.0334787091711,9.675,9.03041666666667,8.42962962962963,6.94637777777778,9.375,8.27043651487832,5.24735855563208,9.5885400223612,6.25602657001227,6.229486147625
"7","ALB",2006,"Albania","Europe","Eastern Europe",3017799,66.6,96.4,44.6,74.6,80.8,38.6,70.5,74.2,63.1,18.8,88.1,75.9,83.3,89.2,70.3,65.5,59.7,0.1563,2972.74361818169,1.56776908873068,0.09609991,4.8062658375509,9.30833273945368,9.675,9.03041666666667,8.76962962962963,6.95992839506173,9.375,8.44521574547334,5.3150383472591,9.49928791610472,6.42443799489706,6.65762179839884
"8","ALB",2007,"Albania","Europe","Eastern Europe",2988975,66.8,96.4,45.6,75.2,82.3,38.7,70.8,73,62.8,19.6,88.1,75.8,82.9,89.1,72.1,63.6,59.6,0.1597,3595.03830207997,1.8207653435572,0.15036116,4.8062658375509,9.25571768263783,9.675,9.86375,9.04740740740741,6.79295679012346,9.375,8.73559194054699,5.34383670702398,9.41116831795572,6.4655500348052,6.59418070009257
"9","ALB",2008,"Albania","Europe","Eastern Europe",2963192,67.5,96.4,48.1,75.7,80.8,38.8,71.1,76.4,64.4,21.3,89.8,77.9,83.2,88.7,72.6,63.6,59.3,0.1306,4370.53971115737,1.98486885667765,0.2386,4.8062658375509,9.33994685138142,9.635,9.856875,9.08261574074074,6.80659012345679,9.375,8.22612439680743,5.48039421671155,9.43272035120908,6.53185843064529,6.74847247327108
"10","ALB",2009,"Albania","Europe","Eastern Europe",2940186,68,96.4,47.3,77.6,78,43.9,71.3,79,64.1,24,89.8,77.3,83.1,88.7,72.5,64.2,59.5,0.1367,4114.13404061058,1.5172171395597,0.412,4.88015847054603,9.37477007912341,9.635,9.856875,8.80483796296296,6.80659012345679,9.375,7.80808400673991,5.63784034722997,9.63002896029241,6.86022297183214,6.44105341767966
